,Instructor,Department,Rcmnd Instr,Average Grade Expected,Classes Taught,Enrolled
124,"Yelon, Deborah",Biology,100.0,3.73,2.0,75.0
125,"Wertheim, Joel Okrent",Biology,100.0,3.9,1.0,30.0
126,"Cook, Orna",Biology,87.5,3.65,1.0,54.0
127,"Doblas Ibanez, Paula Adela",Biology,100.0,3.06,1.0,34.0
128,"Painter, Chelsea Danielle",Biology,98.0,3.33,1.0,72.0
129,"Wills, Christopher",Biology,88.9,2.82,1.0,43.0
130,"Chu, Monica W",Biology,97.2,3.475,6.0,628.0
131,"Vijapurkar, Ulka",Biology,93.95,3.3499999999999996,2.0,234.0
132,"Mudla, Anusorn",Biology,100.0,3.52,1.0,84.0
133,"Ryan, Genevieve Elaine",Biology,82.6,3.27,1.0,58.0
134,"Rusert, Jessica Marie",Biology,81.1,3.44,1.0,41.0
135,"Rizk, Maryan Girgis Soliman",Biology,83.3,3.35,1.0,41.0
136,"Davis, Amanda Gabrielle",Biology,92.9,3.39,1.0,62.0
137,"Waterton, Joseph Sebastian",Biology,91.7,3.3,1.0,72.0
138,"Feng, Gen-Sheng",Biology,69.8,3.36,1.0,113.0
139,"Troemel, Emily Ruth",Biology,86.9,3.61,1.0,272.0
140,"Forbes, Douglass Jane",Biology,85.0,3.49,1.0,323.0
141,"Lim, Byungkook",Biology,71.4,3.14,1.0,43.0
142,"Cooper, Kimberly Lynn",Biology,94.05000000000001,3.13,2.0,350.0
143,"Traver, David",Biology,95.9,3.24,1.0,65.0
144,"Lu, Li-Fan",Biology,91.7,3.13,1.0,166.0
145,"Desai, Arshad",Biology,100.0,3.88,1.0,20.0
146,"Oegema, Karen",Biology,100.0,3.89,1.0,20.0
147,"Goldrath, Ananda",Biology,100.0,3.93,1.0,27.0
148,"Roy, Kaustuv",Biology,96.8,3.51,2.0,120.0
149,"Chao, Lin",Biology,95.65,3.3499999999999996,2.0,194.0
150,"Rifkin, Scott",Biology,100.0,3.55,1.0,25.0
151,"Meyer, Justin Raymond",Biology,92.3,3.46,1.0,278.0
152,"Patrick, Gentry",Biology,72.4,3.08,1.0,243.0
153,"Strause, Linda G.",Biology,95.9,3.58,1.0,403.0
154,"Kurle, Carolyn M.",Biology,97.25,3.435,2.0,587.0
155,"Pruneda-Paz, Jose L.",Biology,99.3,3.685,2.0,346.0
156,"Herndon, Jenny Dyann",Biology,92.7,3.546666666666667,3.0,331.0
157,"Niwa, Maho",Biology,93.5,3.45,1.0,182.0
158,"Baker, Timothy Stanley",other,100.0,3.29,2.0,40.0
159,"Sejnowski, Terrence J",Biology,83.3,3.0,1.0,41.0
160,"Halpain, Shelley",Biology,87.6,3.65,1.0,391.0
161,"Malinow, Roberto",Biology,90.0,3.6,1.0,13.0
162,"French, Kathleen Ann",Biology,92.3,3.77,1.0,20.0
163,"Estelle, Mark",Biology,94.1,4.0,1.0,32.0
164,"Heinrich, Erica C",Biology,100.0,4.0,1.0,78.0
165,"Zhao, Yunde",Biology,82.8,3.17,1.0,282.0
166,"Wilhelm, James E.",Biology,100.0,3.27,1.0,48.0
167,"Villa Rodriguez, Elizabeth",Biology,81.4,3.32,1.0,159.0
168,"Murre, Cornelis",Biology,90.9,3.8,2.0,59.0
169,"Xu, Yang",Biology,69.2,3.62,2.0,153.0
170,"Holway, David A.",Biology,94.6,3.45,1.0,80.0
171,"Nieh, James Charles",Biology,100.0,3.38,1.0,139.0
