,Instructor,Department,Stem,Upper Div,Rcmnd Instr,Average Grade Expected,Classes Taught,Enrolled,Study Hrs/Week
152,"Zhao, Yunde",Biology,True,True,82.8,3.17,1.0,282.0,8.32
153,"Wilhelm, James E.",Biology,True,True,100.0,3.27,1.0,48.0,5.42
154,"Villa Rodriguez, Elizabeth",Biology,True,True,81.4,3.32,1.0,159.0,6.17
155,"Murre, Cornelis",Biology,True,True,90.9,3.8,2.0,59.0,4.09
156,"Xu, Yang",Biology,True,True,69.2,3.62,2.0,153.0,4.63
157,"Holway, David A.",Biology,True,True,94.6,3.45,1.0,80.0,4.01
158,"Nieh, James Charles",Biology,True,True,100.0,3.38,1.0,139.0,5.18
159,"Komiyama, Takaki",Biology,True,False,92.9,3.27,1.0,182.0,4.56
160,"Schroeder, Julian I",Biology,True,False,88.8,3.39,1.0,320.0,5.05
161,"Lauberth, Shannon Marie",Biology,True,True,86.4,3.36,1.0,280.0,6.87
162,"McDonnell, Lisa Marie",Biology,True,True,93.5,3.32,1.0,48.0,7.27
163,"Zhang, Dong-Er",Biology,True,True,97.4,3.46,1.0,44.0,6.19
164,"Kadonaga, James T",Biology,True,True,96.7,3.64,1.0,184.0,4.24
165,"David, Michael",Biology,True,True,100.0,3.66,1.0,107.0,6.86
166,"Bennett, Eric J",Biology,True,True,95.8,3.22,1.0,101.0,6.66
167,"Wang, Jing",Biology,True,True,88.2,3.18,1.0,77.0,7.26
168,"Ackerman, Susan",Biology,True,True,83.3,3.91,1.0,20.0,5.05
169,"Muotri, Alysson",Biology,True,True,83.3,3.91,1.0,34.0,4.67
170,"Bigham, David Joseph",Sixth College,False,False,94.96,3.5060000000000002,5.0,766.0,3.9260000000000006
171,"Bronstein, Phoebe Malan",Sixth College,False,False,94.2,3.645,4.0,635.0,3.81
172,"Ano, Michael Shigeya",Sixth College,False,False,74.1,3.18,1.0,152.0,3.71
173,"Pantoja, Jennifer Metten",Sixth College,False,False,95.76666666666665,3.6333333333333333,3.0,556.0,4.103333333333333
174,"Sartor, Alexandra",Sixth College,False,True,95.4,3.7199999999999998,2.0,380.0,3.7649999999999997
175,"Godino, Job Gideon",Sixth College,False,True,100.0,4.0,1.0,8.0,3.0
176,"Whitley, Leila Marie",Critical Gender Studies,False,True,90.9,3.65,2.0,55.0,4.904999999999999
177,"Icreverzi, Kimberly Heathe",Critical Gender Studies,False,False,79.35,3.3200000000000003,2.0,110.0,4.66
178,"Kaplan, Sara Clarke",Critical Gender Studies,False,True,100.0,3.67,1.0,4.0,16.5
179,"Abusneineh, Bayan Abdelmajid",Critical Gender Studies,False,True,100.0,3.88,1.0,9.0,6.06
180,"Martin Sandino, Amanda Maria Yoland",Critical Gender Studies,False,False,100.0,3.88,1.0,30.0,2.3
181,"Leigh, Brian",Chemistry,True,True,93.1,3.14,1.0,142.0,10.3
182,"Crowell, John E",Chemistry,True,False,74.1,3.2162499999999996,8.0,514.0,8.546249999999999
183,"Ghosh, Gourisankar",Chemistry,True,True,86.96666666666665,3.6366666666666667,3.0,115.0,5.13
184,"Mrse, Anthony Adrian",Chemistry,True,False,91.9,3.2,1.0,250.0,4.68
185,"Toor, Navtej",Chemistry,True,True,70.9,3.16,1.0,286.0,6.06
186,"Galperin, Michael",Chemistry,True,True,44.4,2.76,1.0,104.0,9.2
187,"Sinha, Amitabha",Chemistry,True,True,78.35,2.96,2.0,188.0,9.49
188,"Esko, Jeffrey D.",Chemistry,True,True,100.0,3.065,2.0,24.0,4.635
189,"Godula, Kamil",Chemistry,True,False,95.8,3.046666666666667,3.0,223.0,5.833333333333333
